FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Season,home_Aachen,away_Bayern Munich,away_Bielefeld,away_Bochum,away_Cottbus,away_Dortmund,away_Ein Frankfurt,away_Hamburg,away_Hannover,away_Hertha,away_Leverkusen,away_M'gladbach,away_Mainz,away_Nurnberg,away_Schalke 04,away_Stuttgart,away_Werder Bremen,away_Wolfsburg
0.0,0.0,0.0,1.0,12,11,7,7,5,4,33,16,5,2,0,0,06-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,2.0,0.0,1.0,14,12,9,7,3,5,23,12,3,2,0,0,06-07,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,0.0,1.0,0.0,12,21,8,11,2,6,21,14,3,2,0,0,06-07,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,16,15,12,6,6,0,23,22,2,3,0,0,06-07,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,2.0,0.0,15,16,7,9,3,6,22,25,1,3,0,0,06-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,0.0,1.0,0.0,11,30,6,14,7,7,14,20,1,2,1,0,06-07,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,1.0,0.0,1.0,12,19,4,12,4,9,17,22,0,3,0,0,06-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0,1.0,2.0,0.0,20,11,11,7,8,5,18,16,2,0,0,0,06-07,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1.0,0.0,16,27,12,14,8,10,21,18,3,2,0,0,06-07,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0,2.0,1.0,1.0,10,21,7,12,6,4,24,25,1,2,0,0,06-07,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,1.0,3.0,0.0,15,8,10,6,9,4,18,34,1,2,0,0,06-07,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,1.0,0.0,1.0,16,24,10,9,4,6,18,22,3,5,0,0,06-07,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.0,1.0,0.0,12,18,7,6,4,5,24,28,4,2,0,0,06-07,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,0.0,0.0,1.0,16,14,9,8,6,3,17,26,1,4,0,0,06-07,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,0.0,18,21,9,13,1,7,15,24,1,1,0,0,06-07,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,0.0,16,13,8,7,6,8,14,13,1,2,0,0,06-07,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,15,19,10,12,2,7,21,24,4,4,0,0,06-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
